,날짜,월,사고수,날씨
0,1,1,53,1.0
5,6,1,113,3.0
6,7,1,123,2.0
7,8,1,93,3.0
18,19,1,82,3.0
26,27,1,66,2.0
27,28,1,78,2.0
30,31,1,93,2.0
33,3,2,115,1.0
34,4,2,104,1.0
37,7,2,159,1.0
38,8,2,106,1.0
39,9,2,86,1.0
40,10,2,100,1.0
42,12,2,100,2.0
45,15,2,91,2.0
46,16,2,98,3.0
47,17,2,114,1.0
51,21,2,115,2.0
52,22,2,90,3.0
55,25,2,80,2.0
56,26,2,83,2.0
58,28,2,82,2.0
59,29,2,74,2.0
60,1,3,48,2.0
61,2,3,69,2.0
63,4,3,66,3.0
69,10,3,92,2.0
72,13,3,100,2.0
78,19,3,77,2.0
344,10,12,85,3.0
347,13,12,45,3.0
351,17,12,101,1.0
352,18,12,142,1.0
357,23,12,108,2.0
361,27,12,40,2.0
362,28,12,81,2.0
363,29,12,71,1.0
365,31,12,98,1.0
