,월,1,0
1,1,53,"눈
박무
연무"
2,1,95,연무
3,1,79,"박무
연무"
4,1,78,연무
5,1,68,연무
6,1,113,"비
눈
진눈깨비
박무"
7,1,123,"비
박무"
8,1,93,"비
진눈깨비
박무"
9,1,103,"박무
연무"
10,1,90,"박무
연무"
11,1,84,"박무
연무"
12,1,65,연무
13,1,96,연무
14,1,107,
15,1,108,
16,1,98,달코로나
17,1,92,연무
18,1,98,연무
19,1,82,"비
눈
진눈깨비
박무
연무"
20,1,110,연무
21,1,136,채운
22,1,125,
23,1,106,연무
24,1,60,"박무
연무"
25,1,66,연무
26,1,49,"박무
연무"
27,1,66,비
28,1,78,비
29,1,85,햇무리
30,1,89,
31,1,93,"비
연무"
1,2,76,"박무
연무"
2,2,52,연무
3,2,115,눈
4,2,104,"눈
박무"
5,2,128,
6,2,122,
7,2,159,눈
8,2,106,"눈
연무"
9,2,86,눈
10,2,100,"눈
연무"
11,2,114,
12,2,100,"비
안개비
박무
연무"
13,2,109,"안개
박무"
14,2,97,"박무
연무"
15,2,91,"비
박무
연무"
16,2,98,"비
눈
진눈깨비
박무"
17,2,114,"눈
박무
연무"
18,2,166,
19,2,145,연무
20,2,156,"박무
연무"
21,2,115,"비
박무
연무"
22,2,90,"비
진눈깨비
박무
연무
황사"
23,2,69,
24,2,104,
25,2,80,"비
박무
연무"
26,2,83,비
27,2,64,
28,2,82,"비
안개비
박무"
29,2,74,"안개비
박무"
30,2,-,
31,2,-,
1,3,48,"비
안개비
박무
연무"
2,3,69,"비
박무
연무"
3,3,72,연무
4,3,66,"비
눈
연무"
5,3,77,연무
6,3,88,
7,3,65,연무
8,3,55,연무
9,3,87,연무
10,3,92,"비
박무
연무"
11,3,89,
12,3,87,
13,3,100,"비
박무
연무"
14,3,73,연무
15,3,48,"박무
연무"
16,3,92,
17,3,92,연무
18,3,87,"박무
연무"
19,3,77,"비
연무"
20,3,100,
21,3,92,연무
22,3,66,"박무
연무"
23,3,96,
24,3,94,연무
25,3,95,햇무리
26,3,96,"비
박무
연무"
27,3,109,"비
박무
연무"
28,3,87,햇무리
29,3,69,
30,3,95,연무
31,3,98,
1,4,81,연무
2,4,105,
3,4,98,"박무
연무"
4,4,80,"박무
연무"
5,4,65,
6,4,94,
7,4,87,"박무
연무"
8,4,94,
9,4,113,
10,4,85,
11,4,83,"박무
햇무리"
12,4,61,박무
13,4,106,
14,4,101,
15,4,84,연무
16,4,89,
17,4,84,"비
소나기
박무"
18,4,77,박무
19,4,65,"비
박무"
20,4,91,"비
박무"
21,4,81,
22,4,93,"비
진눈깨비
황사"
23,4,102,
24,4,110,
25,4,109,"연무
채운"
26,4,74,
27,4,112,
28,4,102,연무
29,4,122,"박무
연무"
30,4,76,박무
31,4,-, 
1,5,79,"박무
연무"
2,5,85,"비
박무"
3,5,65,"비
박무"
4,5,110,
5,5,61,연무
6,5,130,달무리
7,5,122,달무리
8,5,161,"비
박무"
9,5,103,"비
안개비
박무"
10,5,69,"안개비
박무"
11,5,124,"비
박무
연무
황사"
12,5,90,"비
박무
연무"
13,5,102,
14,5,113,
15,5,122,"비
박무"
16,5,87,"비
안개비
박무"
17,5,89,"안개비
박무
연무"
18,5,119,"비
소나기
박무
연무"
19,5,85,"비
박무"
20,5,111,비
21,5,112,
22,5,115,"비
박무
연무"
23,5,96,"비
박무
연무"
24,5,73,"비
안개비
소나기
박무
연무"
25,5,113,"박무
연무"
26,5,92,"비
박무
연무"
27,5,98,박무
28,5,99,"비
박무"
29,5,126,박무
30,5,107,연무
31,5,81,"비
박무
연무"
1,6,119,"비
안개비
박무"
2,6,87,"비
박무"
3,6,109,"박무
연무"
4,6,106,"안개비
박무
연무"
5,6,119,"박무
연무"
6,6,88,연무
7,6,79,"박무
연무"
8,6,123,"박무
연무"
9,6,115,
10,6,141,"비
박무"
11,6,100,"비
박무"
12,6,117,연무
13,6,111,비
14,6,78,"비
안개비
박무
연무"
15,6,112,박무
16,6,119,"박무
연무"
17,6,94,연무
18,6,116,
19,6,137,"비
소나기"
20,6,103,연무
21,6,71,"박무
연무"
22,6,95,
23,6,136,비
24,6,116,"비
박무"
25,6,112,"비
안개비
박무"
26,6,114,"안개비
박무"
27,6,103,"비
박무
연무"
28,6,75,박무
29,6,98,"비
박무
연무"
30,6,96,"비
박무"
31,6,-, 
1,7,85,"비
박무
연무"
2,7,96,"박무
연무"
3,7,129,"비
박무"
4,7,107,"비
박무"
5,7,77,"박무
연무"
6,7,84,
7,7,92,비
8,7,99,"박무
연무"
9,7,96,"박무
연무"
10,7,124,비
11,7,114,
12,7,102,"비
박무"
13,7,98,"비
소나기
박무"
14,7,123,"비
소나기
박무"
15,7,114,
16,7,102,
17,7,123,"비
연무"
18,7,102,"박무
연무"
19,7,79,"비
박무"
20,7,102,"비
박무"
21,7,104,"안개비
박무"
22,7,91,"비
박무"
23,7,130,"비
소나기
박무"
24,7,94,비
25,7,106,비
26,7,71,"비
채운"
27,7,86,"비
박무"
28,7,90,"비
박무"
29,7,124,"비
박무"
30,7,100,"비
박무"
31,7,118,"비
소나기
박무
연무"
1,8,87,"비
소나기
박무"
2,8,74,"비
안개비
소나기
박무"
3,8,80,"비
안개비
소나기
박무"
4,8,106,"비
박무"
5,8,107,"비
박무"
6,8,101,"비
박무"
7,8,117,"비
박무"
8,8,98,"비
박무"
9,8,71,"비
박무"
10,8,82,"비
소나기
박무"
11,8,102,"비
박무"
12,8,93,"박무
연무"
13,8,103,박무
14,8,122,"비
박무"
15,8,87,"비
소나기
박무"
16,8,96,박무
17,8,87,박무
18,8,104,"박무
연무"
19,8,105,"박무
연무"
20,8,94,"박무
연무"
21,8,109,"비
박무"
22,8,80,"비
소나기
박무"
23,8,73,박무
24,8,81,연무
25,8,124,"박무
연무"
26,8,91,비
27,8,91,"비
소나기
박무"
28,8,102,"비
소나기
박무"
29,8,92,"비
소나기
박무"
30,8,64,"비
안개비
소나기
박무"
31,8,103,소나기
1,9,74,"비
소나기"
2,9,84,"비
소나기
박무"
3,9,88,"비
소나기
박무"
4,9,96,
5,9,96,
6,9,57,"비
박무"
7,9,98,"비
박무"
8,9,95,"비
박무"
9,9,87,"비
소나기
우박
박무
연무
무지개"
10,9,91,"비
소나기
박무
연무"
11,9,123,"비
박무"
12,9,83,"비
박무"
13,9,80,
14,9,103,"소나기
박무"
15,9,83,"박무
연무"
16,9,87,"비
박무"
17,9,105,박무
18,9,129,
19,9,105,비
20,9,78,
21,9,106,
22,9,142,
23,9,109,
24,9,111,
25,9,128,
26,9,119,
27,9,87,
28,9,132,
29,9,126,
30,9,89,"소나기
박무"
31,9,-, 
1,10,39,
2,10,53,"비
박무"
3,10,46,"비
박무
연무"
4,10,50,"비
박무
연무"
5,10,102,
6,10,98,
7,10,106,
8,10,133,
9,10,100,
10,10,92,
11,10,61,
12,10,116,박무
13,10,101,
14,10,101,채운
15,10,116,
16,10,113,
17,10,142,"박무
연무"
18,10,72,
19,10,116,"박무
연무"
20,10,120,"박무
연무"
21,10,90,
22,10,103,"비
박무
황사"
23,10,133,
24,10,124,
25,10,84,
26,10,107,
27,10,120,"박무
연무"
28,10,119,박무
29,10,119,
30,10,127,
31,10,119,
1,11,66,"비
박무
황사"
2,11,121,"비
박무
황사"
3,11,115,비
4,11,105,
5,11,108,
6,11,96,
7,11,109,"비
박무
연무"
8,11,89,박무
9,11,91,
10,11,94,
11,11,118,
12,11,130,
13,11,106,"박무
연무"
14,11,123,"박무
연무"
15,11,71,"박무
연무"
16,11,90,박무
17,11,96,"비
박무"
18,11,120,"비
박무"
19,11,114,"비
박무"
20,11,126,비
21,11,95,비
22,11,63,"비
박무"
23,11,87,
24,11,118,
25,11,79,
26,11,90,박무
27,11,125,"비
박무"
28,11,91,
29,11,64,
30,11,107,
31,11,-, 
1,12,92,
2,12,74,
3,12,78,
4,12,115,
5,12,76,
6,12,61,연무
7,12,82,연무
8,12,105,
9,12,73,
10,12,85,"눈
진눈깨비
박무
연무"
11,12,100,"박무
연무"
12,12,64,"박무
연무"
13,12,45,"눈
진눈깨비
박무"
14,12,74,
15,12,88,
16,12,89,
17,12,101,눈
18,12,142,눈
19,12,114,
20,12,54,
21,12,108,
22,12,102,
23,12,108,"비
박무
연무"
24,12,95,"박무
연무"
25,12,63,
26,12,52,
27,12,40,"비
연무"
28,12,81,"비
박무
연무"
29,12,71,"눈
박무
연무"
30,12,89,
31,12,98,눈
