사용일자,역명,승차총승객수,하차총승객수
20200101,강남,39231.0,36768.0
20200102,강남,115263.0,116820.0
20200103,강남,126036.0,132511.0
20200104,강남,87333.0,93257.0
20200105,강남,52620.0,51683.0
20200106,강남,117522.0,118454.0
20200107,강남,115832.0,116538.0
20200108,강남,120178.0,120962.0
20200109,강남,122108.0,122689.0
20200110,강남,127610.0,134985.0
20200111,강남,94848.0,101571.0
20200112,강남,55787.0,54371.0
20200113,강남,118073.0,118909.0
20200114,강남,120976.0,121733.0
20200115,강남,122025.0,122875.0
20200116,강남,123030.0,124343.0
20200117,강남,129997.0,136864.0
20200118,강남,93172.0,99551.0
20200119,강남,54820.0,53801.0
20200120,강남,119614.0,120537.0
20200121,강남,121647.0,122832.0
20200122,강남,120553.0,121856.0
20200123,강남,111812.0,115448.0
20200124,강남,33186.0,33251.0
20200125,강남,18365.0,20003.0
20200126,강남,31769.0,35387.0
20200127,강남,42470.0,42586.0
20200128,강남,99953.0,101282.0
20200129,강남,106844.0,107871.0
20200130,강남,106050.0,108133.0
20200131,강남,108233.0,112821.0
20200201,강남,65598.0,69156.0
20200202,강남,37382.0,36531.0
20200203,강남,100352.0,101584.0
20200204,강남,103200.0,103228.0
20200205,강남,102545.0,103379.0
20200206,강남,101782.0,102485.0
20200207,강남,106007.0,110312.0
20200208,강남,66548.0,69937.0
20200209,강남,40663.0,39982.0
20200210,강남,103591.0,104910.0
20200211,강남,106091.0,107900.0
20200212,강남,104164.0,104777.0
20200213,강남,108592.0,109881.0
20200214,강남,113614.0,119315.0
20200215,강남,75772.0,80458.0
20200216,강남,43892.0,43610.0
20200217,강남,106675.0,109029.0
20200218,강남,109332.0,110513.0
20200219,강남,109058.0,110042.0
20200220,강남,107019.0,108655.0
20200221,강남,105267.0,109084.0
20200222,강남,60264.0,63003.0
20200223,강남,32842.0,32141.0
20200224,강남,84095.0,85164.0
20200225,강남,77368.0,78595.0
20200226,강남,75301.0,75787.0
20200227,강남,71572.0,72386.0
20200228,강남,69594.0,71163.0
20200229,강남,35285.0,37114.0
20200301,강남,18405.0,18248.0
20200302,강남,62556.0,63127.0
20200303,강남,62742.0,63287.0
20200304,강남,63166.0,63174.0
20200305,강남,64350.0,64829.0
20200306,강남,68005.0,70586.0
20200307,강남,39648.0,41549.0
20200308,강남,22855.0,22861.0
20200309,강남,72919.0,73302.0
20200310,강남,70679.0,71554.0
20200311,강남,72971.0,73223.0
20200312,강남,71929.0,72725.0
20200313,강남,75857.0,78367.0
20200314,강남,44058.0,46745.0
20200315,강남,24905.0,24485.0
20200316,강남,73055.0,71549.0
20200317,강남,73130.0,73546.0
20200318,강남,74676.0,75073.0
20200319,강남,72021.0,72660.0
20200320,강남,78642.0,82085.0
20200321,강남,47272.0,49593.0
20200322,강남,26203.0,25826.0
20200323,강남,74050.0,74190.0
20200324,강남,74822.0,74483.0
20200325,강남,76454.0,76834.0
20200326,강남,74869.0,74954.0
20200327,강남,80402.0,82183.0
20200328,강남,46628.0,48851.0
20200329,강남,25275.0,24989.0
20200330,강남,73778.0,74047.0
20200331,강남,73891.0,74418.0
20200401,강남,74145.0,74244.0
20200402,강남,73850.0,74522.0
20200403,강남,78454.0,81684.0
20200404,강남,47013.0,48768.0
20200405,강남,25400.0,25236.0
20200406,강남,76736.0,76489.0
20200407,강남,77633.0,77320.0
20200408,강남,77544.0,77579.0
20200409,강남,77853.0,78121.0
20200410,강남,82377.0,85018.0
20200411,강남,48917.0,50831.0
20200412,강남,26851.0,26697.0
20200413,강남,78506.0,78629.0
20200414,강남,82146.0,84845.0
20200415,강남,39820.0,39836.0
20200416,강남,79588.0,80277.0
20200417,강남,81657.0,85231.0
20200418,강남,53203.0,55836.0
20200419,강남,27795.0,27093.0
20200420,강남,79632.0,80189.0
20200421,강남,82960.0,82857.0
20200422,강남,82439.0,82489.0
20200423,강남,83453.0,84365.0
20200424,강남,89681.0,93972.0
20200425,강남,57149.0,60256.0
20200426,강남,32442.0,31585.0
20200427,강남,84080.0,81425.0
20200428,강남,86470.0,83769.0
20200429,강남,90440.0,91148.0
20200430,강남,41984.0,42466.0
20200501,강남,50937.0,52351.0
20200502,강남,49717.0,50389.0
20200503,강남,31619.0,30662.0
20200504,강남,74360.0,78135.0
20200505,강남,36692.0,35995.0
20200506,강남,89367.0,90161.0
20200507,강남,90788.0,91500.0
20200508,강남,92741.0,93572.0
20200509,강남,56045.0,58417.0
20200510,강남,32837.0,32355.0
20200511,강남,85052.0,85563.0
20200512,강남,85863.0,85711.0
20200513,강남,85666.0,85992.0
20200514,강남,85210.0,85460.0
20200515,강남,86958.0,89107.0
20200516,강남,54304.0,55927.0
20200517,강남,31463.0,31048.0
20200518,강남,82693.0,81923.0
20200519,강남,84751.0,84614.0
20200520,강남,87805.0,83990.0
20200521,강남,87112.0,83722.0
20200522,강남,90433.0,87627.0
20200523,강남,57581.0,55094.0
20200524,강남,29974.0,28110.0
20200525,강남,84834.0,80899.0
20200526,강남,85628.0,85358.0
20200527,강남,86774.0,87016.0
20200528,강남,84735.0,85368.0
20200529,강남,88100.0,90203.0
20200530,강남,54966.0,55940.0
20200531,강남,30239.0,29861.0
20200601,강남,83315.0,83762.0
20200602,강남,82164.0,82261.0
20200603,강남,85178.0,85228.0
20200604,강남,85129.0,85608.0
20200605,강남,89729.0,92155.0
20200606,강남,46732.0,47547.0
20200607,강남,30438.0,29821.0
20200608,강남,83399.0,83653.0
20200609,강남,85682.0,85598.0
20200610,강남,85689.0,84703.0
20200611,강남,84921.0,85614.0
20200612,강남,88381.0,91015.0
20200613,강남,57958.0,58394.0
20200614,강남,32351.0,31944.0
20200615,강남,83949.0,84235.0
20200616,강남,85535.0,85312.0
20200617,강남,86431.0,86743.0
20200618,강남,86177.0,86697.0
20200619,강남,89937.0,93161.0
20200620,강남,58448.0,60173.0
20200621,강남,33924.0,33242.0
20200622,강남,83989.0,84236.0
20200623,강남,85835.0,86230.0
20200624,강남,84633.0,84793.0
20200625,강남,86672.0,87319.0
20200626,강남,91789.0,95614.0
20200627,강남,61662.0,63443.0
20200628,강남,35886.0,34972.0
20200629,강남,85719.0,85008.0
20200630,강남,85555.0,85945.0
20200701,강남,86938.0,87205.0
20200702,강남,87949.0,88570.0
20200703,강남,92939.0,96458.0
20200704,강남,62491.0,64126.0
20200705,강남,35623.0,35031.0
20200706,강남,91963.0,92644.0
20200707,강남,93278.0,93400.0
20200708,강남,94647.0,95103.0
20200709,강남,93730.0,94978.0
20200710,강남,97768.0,101897.0
20200711,강남,65171.0,66183.0
20200712,강남,37500.0,36242.0
20200713,강남,90264.0,90327.0
20200714,강남,94250.0,95052.0
20200715,강남,96594.0,97163.0
20200716,강남,95801.0,96744.0
20200717,강남,98936.0,102815.0
20200718,강남,64051.0,66418.0
20200719,강남,33784.0,32827.0
20200720,강남,91827.0,93016.0
20200721,강남,96148.0,97257.0
20200722,강남,94542.0,95499.0
20200723,강남,94268.0,94179.0
20200724,강남,97574.0,102133.0
20200725,강남,63715.0,66300.0
20200726,강남,37260.0,36460.0
20200727,강남,91601.0,92567.0
20200728,강남,94886.0,95831.0
20200729,강남,92706.0,93749.0
20200730,강남,93632.0,95644.0
20200731,강남,97182.0,102587.0
20200801,강남,56649.0,58377.0
20200802,강남,29127.0,28489.0
20200803,강남,86045.0,85980.0
20200804,강남,90870.0,91047.0
20200805,강남,91456.0,92038.0
20200806,강남,92712.0,95659.0
20200807,강남,98692.0,104043.0
20200808,강남,64734.0,65943.0
20200809,강남,31805.0,31422.0
20200810,강남,93938.0,94647.0
20200811,강남,94383.0,96328.0
20200812,강남,98856.0,99684.0
20200813,강남,96797.0,98216.0
20200814,강남,97748.0,102238.0
20200815,강남,46049.0,48582.0
20200816,강남,33768.0,34102.0
20200817,강남,52338.0,52273.0
20200818,강남,84542.0,84883.0
20200819,강남,76642.0,76938.0
20200820,강남,73111.0,72947.0
20200821,강남,71983.0,73103.0
20200822,강남,36201.0,36427.0
20200823,강남,20180.0,20013.0
20200824,강남,67968.0,67424.0
20200825,강남,68736.0,68649.0
20200826,강남,66779.0,65751.0
20200827,강남,61031.0,61278.0
20200828,강남,66343.0,66499.0
20200829,강남,32664.0,33206.0
20200830,강남,16354.0,15679.0
20200831,강남,57379.0,56378.0
20200901,강남,56065.0,54850.0
20200902,강남,53832.0,52061.0
20200903,강남,52859.0,52424.0
20200904,강남,59460.0,57983.0
20200905,강남,30458.0,30536.0
20200906,강남,15850.0,15390.0
20200907,강남,55203.0,54261.0
20200908,강남,60374.0,59066.0
20200909,강남,58677.0,57248.0
20200910,강남,60053.0,58646.0
20200911,강남,64107.0,61897.0
20200912,강남,33916.0,33388.0
20200913,강남,18811.0,18410.0
20200914,강남,68074.0,67820.0
20200915,강남,70946.0,70535.0
20200916,강남,71586.0,70616.0
20200917,강남,71526.0,71720.0
20200918,강남,76996.0,78774.0
20200919,강남,46802.0,48593.0
20200920,강남,26277.0,25880.0
20200921,강남,73001.0,72818.0
20200922,강남,75046.0,75071.0
20200923,강남,74961.0,75196.0
20200924,강남,75069.0,75569.0
20200925,강남,80603.0,83610.0
20200926,강남,49985.0,52384.0
20200927,강남,28495.0,28036.0
20200928,강남,77052.0,77320.0
20200929,강남,75143.0,76399.0
20200930,강남,24798.0,25547.0
20201001,강남,12788.0,13138.0
20201002,강남,21738.0,23279.0
20201003,강남,27517.0,29278.0
20201004,강남,24329.0,24319.0
20201005,강남,76912.0,76656.0
20201006,강남,79891.0,79710.0
20201007,강남,81288.0,81176.0
20201008,강남,84538.0,87299.0
20201009,강남,42647.0,44915.0
20201010,강남,51299.0,53401.0
20201011,강남,30396.0,30065.0
20201012,강남,82329.0,82168.0
20201013,강남,84721.0,84938.0
20201014,강남,84606.0,84808.0
20201015,강남,84670.0,85542.0
20201016,강남,89522.0,93199.0
20201017,강남,59126.0,62291.0
20201018,강남,33265.0,32295.0
20201019,강남,83130.0,82645.0
20201020,강남,85225.0,85488.0
20201021,강남,85850.0,85866.0
20201022,강남,85917.0,86416.0
20201023,강남,91318.0,95635.0
20201024,강남,61590.0,64957.0
20201025,강남,35337.0,34310.0
20201026,강남,83698.0,83886.0
20201027,강남,86386.0,87025.0
20201028,강남,87406.0,87896.0
20201029,강남,87137.0,87902.0
20201030,강남,92850.0,97354.0
20201031,강남,62068.0,65939.0
20201101,강남,34230.0,33253.0
20201102,강남,84650.0,84220.0
20201103,강남,87584.0,87891.0
20201104,강남,88183.0,88355.0
20201105,강남,88634.0,89437.0
20201106,강남,93792.0,100227.0
20201107,강남,64117.0,67745.0
20201108,강남,37741.0,36367.0
20201109,강남,86234.0,86552.0
20201110,강남,89125.0,89633.0
20201111,강남,90592.0,91411.0
20201112,강남,89151.0,90289.0
20201113,강남,94450.0,98597.0
20201114,강남,63767.0,66864.0
20201115,강남,37026.0,36256.0
20201116,강남,85299.0,85947.0
20201117,강남,87107.0,87033.0
20201118,강남,86784.0,86069.0
20201119,강남,79975.0,81379.0
20201120,강남,89109.0,91654.0
20201121,강남,55722.0,58174.0
20201122,강남,31012.0,30163.0
20201123,강남,79390.0,78969.0
20201124,강남,77723.0,75536.0
20201125,강남,77283.0,75536.0
20201126,강남,74205.0,72232.0
20201127,강남,74967.0,73453.0
20201128,강남,42045.0,41244.0
20201129,강남,22635.0,21896.0
20201130,강남,71631.0,69774.0
20201201,강남,71889.0,69871.0
20201202,강남,71388.0,67461.0
20201203,강남,70117.0,66520.0
20201204,강남,74698.0,70337.0
20201205,강남,41726.0,40271.0
20201206,강남,22274.0,21421.0
20201207,강남,69232.0,67727.0
20201208,강남,64241.0,62727.0
20201209,강남,62603.0,61012.0
20201210,강남,62616.0,60911.0
20201211,강남,65160.0,63376.0
20201212,강남,33933.0,33492.0
20201213,강남,16263.0,15909.0
20201214,강남,58587.0,57246.0
20201215,강남,59059.0,57443.0
20201216,강남,57753.0,55741.0
20201217,강남,58376.0,56739.0
20201218,강남,61698.0,60395.0
20201219,강남,32212.0,31899.0
20201220,강남,16627.0,15979.0
20201221,강남,60721.0,59102.0
20201222,강남,61221.0,60122.0
20201223,강남,60452.0,59007.0
20201224,강남,59395.0,57529.0
20201225,강남,19074.0,19110.0
20201226,강남,27724.0,27126.0
20201227,강남,14864.0,14335.0
20201228,강남,59746.0,58303.0
20201229,강남,60264.0,59100.0
20201230,강남,59213.0,57657.0
20201231,강남,54149.0,52740.0
